id	file	slot	page	hex	src	tgt
sys2_001	SYSTEM/DEMO.EMI	1	0	0c8a14820c82775f015f5f61	{框8A}{码14820C82}はい\nいいえ	{框8A}{码14820C82}是\n否
sys2_002	SYSTEM/DEMO.EMI	2	0	0c8814820c82775f015f5f61	{框88}{码14820C82}はい\nいいえ	{框88}{码14820C82}是\n否
sys2_003	SYSTEM/DEMO.EMI	3	0	cfd0d55db35df37620bedfe1b51200a26a	メモリ-カ-ドの{码20}チェック中です	记忆卡检查中
sys2_004	SYSTEM/DEMO.EMI	4	0	c9dcafd67620bedfe1b51200a26a	ファイルの{码20}チェック中です	文件检查中
sys2_005	SYSTEM/DEMO.EMI	5	0	cfd0d55db35df395205e857c6b8b	メモリ-カ-ドが{码20}ありません	未找到记忆卡
sys2_006	SYSTEM/DEMO.EMI	6	0	6991a95f697c696d20818572626970659f685f	しっぱいしました{码20}やりなおしてください	操作失败，请重试
sys2_007	SYSTEM/DEMO.EMI	7	0	bedfe1b573206991a95f697c696d	チェックに{码20}しっぱいしました	检查失败
sys2_008	SYSTEM/DEMO.EMI	8	0	cfd0d55db35df395201273129b129c6887705f7c6b8b	メモリ-カ-ドが{码20}初期化されていません	记忆卡尚未格式化
sys2_009	SYSTEM/DEMO.EMI	9	0	cfd0d55db35df395201273129b129c6887705f7c6b8b01cfd0d55db35df38a201273129b129c697c6a63	メモリ-カ-ドが{码20}初期化されていません\nメモリ-カ-ドを{码20}初期化しますか	记忆卡尚未格式化\n要格式化记忆卡吗
sys2_010	SYSTEM/DEMO.EMI	10	0	128c128d73201273129b129c69708388695fa26a63	本当に{码20}初期化してよろしいですか	确定要格式化吗
sys2_011	SYSTEM/DEMO.EMI	11	0	1273129b129c12005b20cfd0d55db35df38a132b63725fa2659f685f	初期化中‥{码20}メモリ-カ-ドを抜かないでください	格式化中…请勿取出记忆卡
sys2_012	SYSTEM/DEMO.EMI	12	0	1273129b129c9512b889857c696d	初期化が終わりました	格式化完成
sys2_013	SYSTEM/DEMO.EMI	13	0	1273129b129c73206991a95f697c696d	初期化に{码20}しっぱいしました	格式化失败
sys2_014	SYSTEM/DEMO.EMI	14	0	0c8714810c82775f015f5f61	{框87}{码14810C82}はい\nいいえ	{框87}{码14810C82}是\n否
sys2_015	SYSTEM/DEMO.EMI	15	0	204e4f2044415441	{码20}NO{码20}DATA	 无存档数据
sys2_016	SYSTEM/DEMO.EMI	16	0	555345442044415441	USED{码20}DATA	已用数据
sys2_017	SYSTEM/DEMO.EMI	17	0	5b434845434b494e47	‥CHECKING	…检查中
sys2_018	SYSTEM/DEMO.EMI	18	0	4c4f4144	LOAD	读取
sys2_019	SYSTEM/DEMO.EMI	19	0	a36e8476cfd0d55db35df3638420d85df3697c6a63	どちらのメモリ-カ-ドから{码20}ロ-ドしますか	从哪边记忆卡读取
sys2_020	SYSTEM/DEMO.EMI	20	0	a376c9dcafd68a20d85df3697c6a63	どのファイルを{码20}ロ-ドしますか	读取哪个文件
sys2_021	SYSTEM/DEMO.EMI	21	0	d85df36970208388695fa26a63	ロ-ドして{码20}よろしいですか	确定要读取吗
sys2_022	SYSTEM/DEMO.EMI	22	0	d85df312005b20cfd0d55db35df38a132b63725fa2659f685f	ロ-ド中‥{码20}メモリ-カ-ドを抜かないでください	读取中…请勿取出记忆卡
sys2_023	SYSTEM/DEMO.EMI	23	0	d85df3952012b889857c696d	ロ-ドが{码20}終わりました	读取完成
sys2_024	SYSTEM/DEMO.EMI	24	0	c9dcafd68a20b25dfbdba2647c6b8b	ファイルを{码20}オ-プンできません	无法打开文件
sys2_025	SYSTEM/DEMO.EMI	25	0	f6d7bab2f6c9dcafae15057620c9dcafd6955e857c6b8b	ブレスオブファイア{符号2 05}の{码20}ファイルがありません	没有龙战士{符号2 05}的存档文件
sys2_026	SYSTEM/DEMO.EMI	26	0	c9dcafd69520678987705f7c6a	ファイルが{码20}こわれています	文件已损坏
sys2_027	SYSTEM/DEMO.EMI	27	0	d85df373206991a95f697c696d	ロ-ドに{码20}しっぱいしました	读取失败
sys2_028	SYSTEM/DEMO.EMI	28	0	c9dcafd695205e857c6b8b	ファイルが{码20}ありません	没有文件
sys2_029	SYSTEM/DEMO.EMI	29	0	f6d7bab2f6c9dcafae150576c9dcafd6a2775e857c6b8b	ブレスオブファイア{符号2 05}のファイルではありません	不是龙战士{符号2 05}的文件
sys2_030	SYSTEM/DEMO.EMI	30	0	c9dcafd68ad85df3a2647c6b8b	ファイルをロ-ドできません	无法读取文件
sys2_031	SYSTEM/DEMO.EMI	32	0	53415645	SAVE	存档
sys2_032	SYSTEM/DEMO.EMI	33	0	a36e8476cfd0d55db35df37320bb5df6697c6a63	どちらのメモリ-カ-ドに{码20}セ-ブしますか	存档到哪边记忆卡
sys2_033	SYSTEM/DEMO.EMI	34	0	bb5df66a86c9dcafd68a2012858ba212a8685f	セ-ブするファイルを{码20}選んで下さい	请选择存档文件
sys2_034	SYSTEM/DEMO.EMI	35	0	bb5df66970208388695fa26a63	セ-ブして{码20}よろしいですか	确定要存档吗
sys2_035	SYSTEM/DEMO.EMI	36	0	bb5df612005b20cfd0d55db35df38a132b63725fa2659f685f	セ-ブ中‥{码20}メモリ-カ-ドを抜かないでください	存档中…请勿取出记忆卡
sys2_036	SYSTEM/DEMO.EMI	37	0	bb5df69512b889857c696d	セ-ブが終わりました	存档完成
sys2_037	SYSTEM/DEMO.EMI	38	0	bb5df6c9dcafd695132c69651315124368877c6b8ba2696d	セ-ブファイルが正しく作成されませんでした	存档文件未能正确创建
sys2_038	SYSTEM/DEMO.EMI	39	0	cfd0d55db35df37320125364955e857c6b8b	メモリ-カ-ドに{码20}空きがありません	记忆卡空间不足
sys2_039	SYSTEM/DEMO.EMI	60	0	3520122a1257d45db0dd	5{码20}風竜ラ-ウィ	5 风龙拉维
sys2_040	SYSTEM/DEMO.EMI	61	0	362012d6123a	6{码20}聖地	6 圣地
sys2_041	SYSTEM/DEMO.EMI	62	0	3720aed6b3af761257	7{码20}アルカイの竜	7 阿尔凯之龙
sys2_042	SYSTEM/DEMO.EMI	63	0	3820689f7f7612b312cc64	8{码20}さだめの道行き	8 命运的旅途
