id	file	seg	src	tgt	old_tgt
003296	SYSTEM/SGAMEN.EMI	10	強力な無属性ブレス攻撃  カテゴリー：{色03}ブレス{/色}\n{引2 1D40}		强力的无属性龙息攻击类别：龙息\n{色03}ブレス{/色}\n{引2 1D40}
003329	SYSTEM/SGAMEN.EMI	10	そのターンの回復魔法の効果と回避率がUP\nカテゴリー：{色03}アップST·アップLV{/色}		该回合回复魔法效果与回避率UP\n类别：升ST·升LV{色03}アップST·アップLV{/色}
003331	SYSTEM/SGAMEN.EMI	10	自分の攻撃力·防御力·早さ·賢さを2ばいに\n3時間に1回使えます カテゴリー：{色03}アップST{/色}		使自己攻击·防御·速度·智慧翻倍\n每3小时可用1次类别：升ST{色03}アップST{/色}
003332	SYSTEM/SGAMEN.EMI	10	3ターン無敵！ 3ターン終了後、戦闘不能になる\n3時間に1回使えます カテゴリー：{色03}アップLV{/色}		3回合无敌！3回合结束后无法战斗\n每3小时可用1次类别：升LV{色03}アップLV{/色}
003363	SYSTEM/SGAMEN.EMI	10	もえやすくなります 火属性攻撃で大ダメージ！\nカテゴリー：{色03}ダウンLV{/色}		变得易燃，受火属性攻击大伤害！\n类别：降LV{色03}ダウンLV{/色}
003475	SYSTEM/SGAMEN.EMI	10	{色03}あおいオフダ{/色}の\n{引2 A641}		{色03}蓝色符咒之\n{/色}の\n{引2 A641}
003476	SYSTEM/SGAMEN.EMI	10	{色06}黄色いオフダ{/色}の\n{引2 A641}		{色06}黄色符咒的\n{/色}の\n{引2 A641}
003524	SYSTEM/SGAMEN.EMI	10	カテゴリー：{色03}ダウンST·体術{/色}		类别：降ST·体术{色03}ダウンST·体術{/色}
003527	SYSTEM/SGAMEN.EMI	10	カテゴリー：{色03}宝·アップLV{/色}		类别：宝·升LV{色03}宝·アップLV{/色}
003545	SYSTEM/SGAMENX.EMI	3	方向キー上下：コマンドを選択\n \n{色0A}○{/色}：決定  {色0A}×{/色}：ショップを出る		方向键上下：选择指令\n\n○：确定×：离开商店{色0A}○{/色}：決定  {色0A}×{/色}：ショップを出る
003552	SYSTEM/SGAMENX.EMI	3	方向キー上下：コマンドを選択\n \n{色0A}○{/色}：決定  {色0A}×{/色}：宿屋を出る		方向键上下：选择指令\n\n○：确定×：离开旅店{色0A}○{/色}：決定  {色0A}×{/色}：宿屋を出る
003593	SYSTEM/SHOP.EMI	9	カテゴリー：{色03}ダウンST{/色}		类别：降ST{色03}ダウンST{/色}
003594	SYSTEM/SHOP.EMI	9	カテゴリー：{色03}アップST{/色}		类别：升ST{色03}アップST{/色}
003595	SYSTEM/SHOP.EMI	9	カテゴリー：{色03}アップLV{/色}		类别：升LV{色03}アップLV{/色}
003878	SYSTEM/SHOP.EMI	9	火の力を開放する     カテゴリー：{色03}ブレス{/色}\n{引2 1D40}		解放火之力的类别：龙息\n{色03}ブレス{/色}\n{引2 1D40}
003879	SYSTEM/SHOP.EMI	9	風の力を開放する     カテゴリー：{色03}ブレス{/色}\n全体を防御力無視で物理攻撃		解放风之力的类别：龙息\n无视防御力对全体物理攻击{色03}ブレス{/色}\n全体を防御力無視で物理攻撃
003880	SYSTEM/SHOP.EMI	9	水の力を開放する     カテゴリー：{色03}ブレス{/色}\n{引2 1D40}		解放水之力的类别：龙息\n{色03}ブレス{/色}\n{引2 1D40}
003881	SYSTEM/SHOP.EMI	9	土の力を開放する     カテゴリー：{色03}ブレス{/色}\n{引2 5A40}		解放土之力的类别：龙息\n{色03}ブレス{/色}\n{引2 5A40}
003883	SYSTEM/SHOP.EMI	9	無属性ブレス攻撃     カテゴリー：{色03}ブレス{/色}\n{引2 5A40}		无属性龙息攻击类别：龙息\n{色03}ブレス{/色}\n{引2 5A40}
003884	SYSTEM/SHOP.EMI	9	強力な無属性ブレス攻撃  カテゴリー：{色03}ブレス{/色}\n{引2 1D40}		强力的无属性龙息攻击类别：龙息\n{色03}ブレス{/色}\n{引2 1D40}
003885	SYSTEM/SHOP.EMI	9	砂竜『ジュナー』をよぶ  カテゴリー：{色03}ブレス{/色}\n風のブレス 残りHPでダメージ変化&こんらん		呼唤沙龙『朱纳』类别：龙息\n风之龙息伤害随剩余HP变化&混乱{色03}ブレス{/色}\n風のブレス 残りHPでダメージ変化&こんらん
003886	SYSTEM/SHOP.EMI	9	泥竜『ノスト』をよぶ   カテゴリー：{色03}ブレス{/色}\n水+土属性ブレス攻撃		呼唤泥龙『诺斯托』类别：龙息\n水+土属性龙息攻击{色03}ブレス{/色}\n水+土属性ブレス攻撃
003887	SYSTEM/SHOP.EMI	9	草竜『タープ』をよぶ   カテゴリー：{色03}ブレス{/色}\nパーティのHPを大回復&状態変化の回復		呼唤草龙『塔普』类别：龙息\n大幅恢复队伍HP&恢复状态变化{色03}ブレス{/色}\nパーティのHPを大回復&状態変化の回復
003888	SYSTEM/SHOP.EMI	9	風竜『ラーウィ』をよぶ  カテゴリー：{色03}ブレス{/色}\n聖属性ブレス  敵の残りHPでダメージ変化		呼唤风龙『拉维』类别：龙息\n圣属性龙息伤害随敌方剩余HP变化{色03}ブレス{/色}\n聖属性ブレス  敵の残りHPでダメージ変化
003889	SYSTEM/SHOP.EMI	9	海竜『アビト』をよぶ   カテゴリー：{色03}ブレス{/色}\n風+水のブレス 残りHPでダメージ変化&スタン		呼唤海龙『阿比托』类别：龙息\n风+水龙息伤害随剩余HP变化&眩晕{色03}ブレス{/色}\n風+水のブレス 残りHPでダメージ変化&スタン
003890	SYSTEM/SHOP.EMI	9	岩竜をよぶ        カテゴリー：{色03}ブレス{/色}\n重力攻撃  敵の残りHPでダメージ変化		呼唤岩龙类别：龙息\n重力攻击伤害随敌方剩余HP变化{色03}ブレス{/色}\n重力攻撃  敵の残りHPでダメージ変化
003891	SYSTEM/SHOP.EMI	9	樹竜『賢樹』をよぶ    カテゴリー：{色03}ブレス{/色}\nそのターンに前衛が受ける あらゆるものを防ぐ		呼唤树龙『贤树』类别：龙息\n防御该回合前卫所受的一切{色03}ブレス{/色}\nそのターンに前衛が受ける あらゆるものを防ぐ
003892	SYSTEM/SHOP.EMI	9	無属性ブレス攻撃     カテゴリー：{色03}ブレス{/色}\n{引2 5A40}		无属性龙息攻击类别：龙息\n{色03}ブレス{/色}\n{引2 5A40}
003893	SYSTEM/SHOP.EMI	9	強力な無属性ブレス攻撃  カテゴリー：{色03}ブレス{/色}\n{引2 1D40}		强力的无属性龙息攻击类别：龙息\n{色03}ブレス{/色}\n{引2 1D40}
003926	SYSTEM/SHOP.EMI	9	そのターンの回復魔法の効果と回避率がUP\nカテゴリー：{色03}アップST·アップLV{/色}		该回合回复魔法效果与回避率UP\n类别：升ST·升LV{色03}アップST·アップLV{/色}
003928	SYSTEM/SHOP.EMI	9	自分の攻撃力·防御力·早さ·賢さを2ばいに\n3時間に1回使えます カテゴリー：{色03}アップST{/色}		使自己攻击·防御·速度·智慧翻倍\n每3小时可用1次类别：升ST{色03}アップST{/色}
003929	SYSTEM/SHOP.EMI	9	3ターン無敵！ 3ターン終了後、戦闘不能になる\n3時間に1回使えます カテゴリー：{色03}アップLV{/色}		3回合无敌！3回合结束后无法战斗\n每3小时可用1次类别：升LV{色03}アップLV{/色}
003960	SYSTEM/SHOP.EMI	9	もえやすくなります 火属性攻撃で大ダメージ！\nカテゴリー：{色03}ダウンLV{/色}		变得易燃，受火属性攻击大伤害！\n类别：降LV{色03}ダウンLV{/色}
004072	SYSTEM/SHOP.EMI	9	{色03}あおいオフダ{/色}の\n{引2 A641}		{色03}蓝色符咒之\n{/色}の\n{引2 A641}
004073	SYSTEM/SHOP.EMI	9	{色06}黄色いオフダ{/色}の\n{引2 A641}		{色06}黄色符咒的\n{/色}の\n{引2 A641}
004121	SYSTEM/SHOP.EMI	9	カテゴリー：{色03}ダウンST·体術{/色}		类别：降ST·体术{色03}ダウンST·体術{/色}
004124	SYSTEM/SHOP.EMI	9	カテゴリー：{色03}宝·アップLV{/色}		类别：宝·升LV{色03}宝·アップLV{/色}
004161	WORLD/AREAD001.EMI	8	{框06}{立绘8841}「兄さま‥、{码0B}道が‥！！		{框06}{立绘8841}「兄长‥，路‥！！{码0B}道が‥！！
004164	WORLD/AREAD001.EMI	8	{框06}{立绘8A41}「ご、{码0B}ごめんなさい。\nわたし‥、休もうなんて\n言ってしまって‥‥		{框06}{立绘8A41}「对，对不起。\n是我‥，说了\n要休息的话……{码0B}ごめんなさい。\nわたし‥、休もうなんて\n言ってしまって‥‥
004188	WORLD/AREAD001.EMI	8	{框06}{立绘8544}「お、{码0B}おい {码0B}俺は‥‥		{框06}{立绘8544}「喂，喂我……{码0B}おい {码0B}俺は‥‥
004253	WORLD/AREAD001.EMI	8	旅の記錄が できます‥{码148B0C93}休んでいく\n旅の記錄だけする\nやめておく		可记录旅程‥歇一歇再走\n只记录旅程\n先算了{码148B0C93}休んでいく\n旅の記錄だけする\nやめておく
004263	WORLD/AREAD004.EMI	11	{框05}{立绘0404}「向こう岸‥？\n---\n何で ワザワザこんな\nうす污い所、通るの‥{码0B}‥{码0B}‥{码0B}？\n---\n‥ま、いいか。		{框05}{立绘0404}「对岸‥？\n---\n何必特意走这种\n又脏又臭的地方……？\n---\n‥算了。{码0B}‥{码0B}‥{码0B}？\n---\n‥ま、いいか。
004269	WORLD/AREAD004.EMI	11	{立绘0303}ロペ\n「なに‥ 鍵？\nあるよ‥‥、{码0B}ほら。\n---\n{立绘FFFF} \n  『{道具0105}』を 手に入れた。		{立绘0303}罗佩\n「什么‥钥匙？\n有啊……，给。\n---\n{码0B}\n获得了『{立绘FFFF}』。{道具0105}』を 手に入れた。
004270	WORLD/AREAD004.EMI	11	{立绘0303}「んで、どーすんの、鍵？\n---\n‥{码0B}‥向こう岸に 渡るの？\n‥そうか ふーん\nまぁ、がんばってくれ。		{立绘0303}「然后，钥匙干嘛用？\n---\n……要渡到对岸？\n‥这样啊，哦～\n嘛，加油吧。{码0B}‥向こう岸に 渡るの？\n‥そうか ふーん\nまぁ、がんばってくれ。
004277	WORLD/AREAD004.EMI	11	{框04}{立绘0404}「お、{码0B}戻ったか‥\nじゃ、リフトを動かすか‥\n---\n鍵は 返してもらうよ。		{框04}{立绘0404}「哦，回来啦‥\n那，开升降台吧‥\n---\n钥匙要还我哦。{码0B}戻ったか‥\nじゃ、リフトを動かすか‥\n---\n鍵は 返してもらうよ。
004280	WORLD/AREAD004.EMI	11	{框04}{立绘0404}「ああ‥、{码0B}水門が開いてないと\n俺ら 仕事になんねぇから‥\n---\nあんたらの 用がすんだら\nサッサと 開けねぇとな。		{框04}{立绘0404}「啊‥，水门不开\n我们就没法干活‥\n---\n你们的事一完\n就得赶紧开门。{码0B}水門が開いてないと\n俺ら 仕事になんねぇから‥\n---\nあんたらの 用がすんだら\nサッサと 開けねぇとな。
004281	WORLD/AREAD004.EMI	11	{框04}{立绘0404}「と、{码0B}さて‥\nリフトを 動かしま‥		{框04}{立绘0404}「那么，来‥\n开动升降台‥{码0B}さて‥\nリフトを 動かしま‥
004283	WORLD/AREAD004.EMI	11	{框06}{立绘0444}「リフト、{码0B}動かしてやろうと\n思ってたけど‥\n---\nどうも‥、それどころじゃ\nなさそうだな‥！		{框06}{立绘0444}「升降台，本想\n给你们开的‥\n---\n可现在‥，看来\n顾不上这个了‥！{码0B}動かしてやろうと\n思ってたけど‥\n---\nどうも‥、それどころじゃ\nなさそうだな‥！
004287	WORLD/AREAD004.EMI	11	{框06}{立绘0444}「あ、{码0B}そうじゃなくて‥\n俺も、逃げるから\nあんたらを 手伝えない\n---\nだから、自分たちで\nリフト動かしてくれ‥\n---\nコイツを 渡しとくよ。\n---\n{立绘FFFF} \n  『{道具0905}』を もらった！		{框06}{立绘0444}「啊，不是那个意思‥\n我也要逃命\n帮不了你们\n---\n所以升降台\n你们自己开‥\n---\n把这个给你们。\n---\n{码0B}\n获得了『{立绘FFFF}』！{道具0905}』を もらった！
004293	WORLD/AREAD004.EMI	11	 \n{码03}は、{道具0905}を使った。		\n使用了{码03}。{道具0905}を使った。
004294	WORLD/AREAD004.EMI	11	{立绘0606}「‥{码0B}‥{码0B}‥下りてきません\n---\n何回も レバーを\n動かさないと‥\nいけないのでしょうか？		{立绘0606}「……降不下来\n---\n是不是要\n多扳几次\n扳手才行？{码0B}‥{码0B}‥下りてきません\n---\n何回も レバーを\n動かさないと‥\nいけないのでしょうか？
004297	WORLD/AREAD004.EMI	11	{立绘0707}「お、{码0B}いっ、急げ！		{立绘0707}「快，快、快跑！{码0B}いっ、急げ！
004309	WORLD/AREAD004.EMI	11	{框06}{立绘C140}「‥{码0B}‥だから、そんなに\n困らなくても いいんですよ\n{队员05}さん？		{框06}{立绘C140}「……所以说\n不必这么发愁的\n{码0B}先生？{队员05}さん？
004311	WORLD/AREAD004.EMI	11	{框06}{立绘8C46}「と、{码0B}とにかく\n行きましょう‥！		{框06}{立绘8C46}「总，总之\n走吧‥！{码0B}とにかく\n行きましょう‥！
004314	WORLD/AREAD004.EMI	11	{框06}{立绘C240}「ま、{码0B}まぁ いいか‥\n行こう‥！		{框06}{立绘C240}「罢，罢了‥\n走吧‥！{码0B}まぁ いいか‥\n行こう‥！
