id	file	offset	src	tgt	hex_len
sys_000	SYSTEM/DEMO.EMI	42128	セーブには 1ブロック必要です	存档需要1个区块	17
sys_001	SYSTEM/DEMO.EMI	42146	ファイル{占位01}に 新しいファイルを作成しますか	文件{占位01}是否新建存档文件？	25
sys_002	SYSTEM/DEMO.EMI	42172	ファイル{占位01}に 上書きしてよろしいですか	文件{占位01}是否覆盖存档？	22
sys_003	SYSTEM/DEMO.EMI	42195	このファイルに 上書きする事はできません	此文件无法覆盖	23
sys_004	SYSTEM/DEMO.EMI	42219	DATA ERROR	DATA ERROR	10
sys_005	SYSTEM/DEMO.EMI	42230	方向キー上下：メモリーカードを選択\n{色0A}	方向键上下：选择记忆卡\n{色0A}	27
sys_006	SYSTEM/DEMO.EMI	42258	{/色}：決定\n{色0A}×{/色}：セーブ/ロードをやめる	{/色}：确定\n{色0A}×{/色}：取消存档/读取	24
sys_007	SYSTEM/DEMO.EMI	42283	方向キー ：カーソルの移動\nL1·L2：\n時間最大から小のデータにカーソル移動\n---\nR1·R2：\n時間最小から大のデータにカーソル移動\n---\n{色0A}	方向键：移动光标\nL1·L2：\n跳到最新存档\n---\nR1·R2：\n跳到最旧存档\n---\n{色0A}	87
sys_008	SYSTEM/DEMO.EMI	42371	{/色} ：決定\n{色0A}×{/色} ：メモリーカード選択画面に戻る	{/色} ：确定\n{色0A}×{/色} ：返回记忆卡选择	34
sys_009	SYSTEM/DEMO.EMI	42406	メモリーカード差込口1に\nメモリーカードがありません\n---\nセーブが行えるよう\nメモリーカードの\n使用をおすすめします	记忆卡插槽1中\n未找到记忆卡\n---\n请准备记忆卡\n以便\n进行存档	62
sys_010	SYSTEM/DEMO.EMI	42469	メモリーカード差込口1の\nメモリーカードに 空きブロックが\nありません\n---\nセーブが行えるよう 1ブロック以上の\n空きがある メモリーカードの使用を\nおすすめします	记忆卡插槽1的\n记忆卡没有空闲区块\n---\n请确保有1个以上\n空闲区块的记忆卡\n以便\n进行存档	90
sys_011	SYSTEM/DEMO.EMI	42560	メモリーカード差込口1の\nメモリーカードのファイルが\nこわれています\n---\nこのままでは ゲーム	记忆卡插槽1的\n记忆卡文件\n已损坏\n---\n这样将无法	49
sys_012	SYSTEM/DEMO.EMI	42610	にセーブを\n行う事ができません\n---\nセーブが行えるよう 1ブロック以上の\n空きがある メモリーカードの使用を\nおすすめします	进行游戏存档\n---\n请确保有1个以上\n空闲区块的记忆卡\n以便\n进行存档	68
sys_013	SYSTEM/DEMO.EMI	42679	  ERROR	  ERROR	7
sys_014	SYSTEM/DEMO.EMI	42687	{框89}{码14810C82}はい\nいいえ	{框89}{码14810C82}是\n否	12
sys_015	SYSTEM/DEMO.EMI	42700	1 きざし	1 征兆	5
sys_016	SYSTEM/DEMO.EMI	42706	2 竜にかかわるもの	2 与龙相关之物	11
sys_017	SYSTEM/DEMO.EMI	42718	3 消えた王女	3 消失的公主	10
sys_018	SYSTEM/DEMO.EMI	42729	4 王家の剣	4 王族之剑	9
sys_019	SYSTEM/DEMO.EMI	43570	方向キー	方向键	6
sys_020	SYSTEM/DEMO.EMI	43577	メッセージ	消息	5
sys_021	SYSTEM/DEMO.EMI	43607	マニュアル	手动	5
sys_022	SYSTEM/DEMO.EMI	43880	ダッシュボタンを押して走るか、步くかを選べます\n>アナログモードでも ゆうこうです	按下冲刺键可选择奔跑或步行\n>模拟模式同样有效	46
sys_023	SYSTEM/DEMO.EMI	43927	カメラがまわる方向を へんこうします	更改视角旋转方向	20
