id	file	seg	src	tgt	old_tgt
005357	WORLD/AREAD093.EMI	11	{立绘4400}「‥急ごう。		
005358	WORLD/AREAD093.EMI	11	{立绘4100}「急ぎましょう‥！		
005359	WORLD/AREAD093.EMI	11	{立绘0605}「急がないと\n見えなく なっちまうよ！\n---\n{立绘4500}「‥って、言ってます。\nふふふふー。		{立绘0605}「不抓紧\n就要看不见啦！\n---\n
005366	WORLD/AREAD093.EMI	11	{框05}{立绘4100}「今は、あせっても\n仕方ありません\n兄さま‥\n---\n{立绘0101}体を 休めて‥\n明日 がんばりましょう。		{框05}
005369	WORLD/AREAD093.EMI	11	{框05}{立绘4200}「くそ、何て事だ！！\n---\n夜の間に、あさせが\nなくなったのか！！		{框05}
005372	WORLD/AREAD093.EMI	11	{立绘4400}「おちつけ‥！\n---\n{立绘8B06}来た道が、ふさがったが\n行く道も、そうだとは\nかぎらん‥		
005373	WORLD/AREAD093.EMI	11	{立绘C400}「まだ、通じてる あさせを\n探すんだ‥\n---\n急げ‥！		
005375	WORLD/AREAD093.EMI	11	{立绘4500}「あさせが、無くなった\nですか‥？\n---\n{立绘0605}そりゃ、たいへん‥\nむにゃむにゃ‥\n---\n{立绘0C07}って、言ってます。		
005376	WORLD/AREAD093.EMI	11	{立绘4300}「たい‥‥\n---\nへん。		
005382	WORLD/AREAD093.EMI	11	{立绘4200}「次に、いつ\nあさせが 通れるのか‥\n---\n分からないのだぞ‥！？		
005383	WORLD/AREAD093.EMI	11	{框05}{立绘4200}「ことによると、このまま‥\n---\n何も無い、この島で\n行き倒れになるって\n事も‥‥		{框05}
005384	WORLD/AREAD093.EMI	11	{立绘8645}「それは、ないね‥\n---\n{队员00}が‥\n神皇{队员06}と\n会うって事は‥\n---\n運命づけられた\n事だからね‥		{立绘8645}「那可不会‥\n---\n
005385	WORLD/AREAD093.EMI	11	{立绘8645}「少なくとも\n{队员00}だけは‥\n---\nここで、死んだり\nしないよ‥\n---\n{立绘8C47}「って、言ってます。		{立绘8645}「至少\n
005386	WORLD/AREAD093.EMI	11	{立绘0701}「あ、{码0B}おはよう\n{队员00}‥		{立绘0701}「啊，早安\n
005389	WORLD/AREAD093.EMI	11	{立绘4400}「次に あさせを\n通れるのが‥\n---\n3日後か、1年後か‥\n分からんが、な。		
005390	WORLD/AREAD093.EMI	11	{立绘4300}「ここ‥‥\n---\n寢やすい。		
