id	file	seg	src	tgt
005139	WORLD/AREAD070.EMI	11	おちるがけー	崩落崖
005141	WORLD/AREAD070.EMI	11	{立绘C140}「日のあるうちに\n急ぎましょうか‥	{立绘C140}「趁天还亮\n抓紧赶路吧‥
005142	WORLD/AREAD070.EMI	11	{框04}{立绘C140}「道が、とぎれてますね。	{框04}{立绘C140}「路，断了呢。
005143	WORLD/AREAD070.EMI	11	{框06}{立绘C140}「でも、だいじょうぶです。\n---\nこんな場所は、ジャンプして\nとびこせるのです。	{框06}{立绘C140}「不过，不要紧。\n---\n这种地方，跳一下\n就能越过去。
005144	WORLD/AREAD070.EMI	11	{框06}{立绘C140}「とびこせそうな場所で\n○ボタンを押すか‥\n---\nジャンプしたい方向に\n方向キーをいれれば\nいいんです‥\n---\nやってみて下さい。	{框06}{立绘C140}「在能跳过去的地方\n按○键‥\n---\n或朝想跳的方向\n推方向键\n就行‥\n---\n请试试看。
005145	WORLD/AREAD070.EMI	11	{框04}{立绘C140}「‥‥‥と、いう感じで\nもうひとつ、そっちも\nとびこえちゃいましょう。	{框04}{立绘C140}「……就像这样\n那边那个\n也跳过去吧。
005146	WORLD/AREAD070.EMI	11	{框04}{立绘C140}「高い所、こわいですか‥？\n---\nわたしたち、ウインディア人は\nわりと平気なんですけど‥	{框04}{立绘C140}「怕高吗‥？\n---\n我们温迪亚人\n倒是不怎么怕‥
005147	WORLD/AREAD070.EMI	11	{立绘C140}「ちゃんと、ジャンプできて\nよかったですね‥\n---\nすっごい高いですよ！	{立绘C140}「能顺利跳过来\n太好了‥\n---\n这里可高得很哦！
005148	WORLD/AREAD070.EMI	11	{立绘C140}「うわー‥‥‥	{立绘C140}「哇——……
005149	WORLD/AREAD070.EMI	11	{立绘8040}「高い所って‥\n何だかくらくらして\n楽しいですよね？	{立绘8040}「站得高高的‥\n总让人头晕目眩\n又很开心呢？
005150	WORLD/AREAD070.EMI	11	{立绘8140}「だ、だいじょうぶですか\n	{立绘8140}「没，没事吧\n
005151	WORLD/AREAD070.EMI	11	{立绘8240}「とび下りてきて\nくれたんですか‥‥？	{立绘8240}「你是自己\n跳下来的‥‥？
005152	WORLD/AREAD070.EMI	11	{立绘8240}「ケガ‥、しませんでした？\n---\nごめんなさい‥‥\nわたし、翼があるから‥\n---\nちょっとぐらい高い所から\n落ちても、平気なんです。	{立绘8240}「没‥，受伤吧？\n---\n对不起……\n我有翅膀‥\n---\n从稍微高一点的地方\n掉下来，也不碍事。
005153	WORLD/AREAD070.EMI	11	{立绘C140}「でも、勇気ありますね\n	{立绘C140}「不过，真有勇气呢\n
005154	WORLD/AREAD070.EMI	11	{框06}{立绘C140}「暗くなってきましたね‥	{框06}{立绘C140}「天色暗下来了‥
005155	WORLD/AREAD070.EMI	11	{框06}{立绘C140}「ガケを上がるのは\n明るくなってからの方が\n良さそうですね‥\n---\nどこか、休めそうな場所を\n探しましょう。	{框06}{立绘C140}「爬悬崖\n还是等天亮之后\n比较好‥\n---\n找找有没有\n能休息的地方吧。
005156	WORLD/AREAD070.EMI	11	ここから、上がれそうだが‥\n暗くなると危険なので、\n今はやめておこう。	这里似乎能爬上去‥\n天黑后很危险，\n现在先算了。
005157	WORLD/AREAD070.EMI	11	{框04}{立绘C140}「ここで、休めそうです。	{框04}{立绘C140}「这里，能休息了。
005158	WORLD/AREAD070.EMI	11	{框04}{立绘C140}「そして‥、こんなときは\n{立绘8340}たき火をするのです。	{框04}{立绘C140}「还有‥，这种时候\n{立绘8340}就该生堆篝火。
005159	WORLD/AREAD070.EMI	11	{框02}{立绘C140}「‥‥で、わたしたち\nお姉様を探しに行く\nとちゅうなのです。{延时60}	{框02}{立绘C140}「……我们\n正在去找姐姐\n的途中。{延时60}
005160	WORLD/AREAD070.EMI	11	{框04}{立绘C140}「	{框04}{立绘C140}「
005161	WORLD/AREAD070.EMI	11	{立绘C140}「あした‥、町に着いたら‥\n---\n{立绘8340}「何か、分かりますよ\nきっと‥。	{立绘C140}「明天‥，到了镇上‥\n---\n{立绘8340}「一定\n会弄清些什么‥。
005163	WORLD/AREAD070.EMI	11	{立绘0401}もう、下りる必要は\nないだろう‥	{立绘0401}已经没有必要\n下去了‥
005164	WORLD/AREAD071.EMI	11	せねすたちか	塞内斯塔附近
005165	WORLD/AREAD071.EMI	11	つぼがひっかかっている‥\nこのままでは開きそうにない。	被壶卡住了‥\n这样下去打不开。
005167	WORLD/AREAD072.EMI	11	すいもんのあるうんが	有水门的运河
